skip 
     Z (m)	  Az (m2)	 Tz (deg C)	  Cz(mg/m3)	  POCz (mg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	   Fvol_IM (m3/m3, dry w.)	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4aqz (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 FeSz (mg/m3)	 CaCO3z (mg/m3)	 CH4gz (mg/m3)	 POPz (mg/m3)
    
0.00	128735	7.10	0	3500.00	37.10	5.00	19.00	6300.00	0	0	0	0	0	10000.00	0	0	0	0	0	0	0	0	7.49	0	0	0	0	0	0	30.10
0.50	155822	7.10	0	3500.00	37.10	5.00	19.00	6300.00	0	0	0	0	0	10000.00	0	0	0	0	0	0	0	0	7.49	0	0	0	0	0	0	30.10
1.00	182909	7.10	0	3500.00	40.32	4.37	19.00	6306.45	0	0	0	0	0	9800.00	0	0	0	0	0	0	0	0	7.48	0	0	0	0	0	0	31.02
1.50	209996	7.20	0	3500.00	43.55	3.74	19.00	6312.90	0	0	0	0	0	9700.00	0	0	0	0	0	0	0	0	7.48	0	0	0	0	0	0	31.94
2.00	237082	7.30	0	3500.00	46.77	3.10	19.00	6319.35	0	0	0	0	0	9600.00	0	0	0	0	0	0	0	0	7.47	0	0	0	0	0	0	32.86
2.50	264169	7.30	0	3500.00	49.99	2.47	19.00	6325.81	0	0	0	0	0	9600.00	0	0	0	0	0	0	0	0	7.46	0	0	0	0	0	0	33.78
3.00	291256	7.30	0	3500.00	53.21	1.84	19.00	6332.26	0	0	0	0	0	9600.00	0	0	0	0	0	0	0	0	7.45	0	0	0	0	0	0	34.70
3.50	274083	7.35	0	3500.00	56.44	1.21	19.00	6338.71	0	0	0	0	0	9550.00	0	0	0	0	0	0	0	0	7.45	0	0	0	0	0	0	35.62
4.00	256910	7.40	0	3500.00	59.66	0.57	19.00	6345.16	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.44	0	0	0	0	0	0	36.54
4.50	239737	7.40	0	3500.00	62.88	-0.06	19.00	6351.61	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.43	0	0	0	0	0	0	37.45
5.00	222564	7.40	0	3500.00	66.10	-0.69	19.00	6358.06	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.42	0	0	0	0	0	0	38.37
5.50	205391	7.40	0	3500.00	69.33	-1.32	19.00	6364.52	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.42	0	0	0	0	0	0	39.29
6.00	188218	7.40	0	3500.00	72.55	-1.95	19.00	6370.97	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.41	0	0	0	0	0	0	40.21
6.50	167236	7.45	0	3500.00	75.77	-2.59	19.00	6377.42	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.40	0	0	0	0	0	0	41.13
7.00	146254	7.50	0	3500.00	78.99	-3.22	19.00	6383.87	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.39	0	0	0	0	0	0	42.05
7.50	125272	7.50	0	3500.00	82.22	-3.85	19.00	6390.32	0	0	0	0	0	9550.00	0	0	0	0	0	0	0	0	7.39	0	0	0	0	0	0	42.97
8.00	104289	7.50	0	3500.00	85.44	-4.48	19.00	6396.77	0	0	0	0	0	9600.00	0	0	0	0	0	0	0	0	7.38	0	0	0	0	0	0	43.89
8.50	83307	7.50	0	3500.00	88.66	-5.12	19.00	6403.23	0	0	0	0	0	9550.00	0	0	0	0	0	0	0	0	7.37	0	0	0	0	0	0	44.81
9.00	62325	7.50	0	3500.00	91.88	-5.75	19.00	6409.68	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.36	0	0	0	0	0	0	45.73
9.50	57102	7.50	0	3500.00	95.11	-6.38	19.00	6416.13	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.36	0	0	0	0	0	0	46.65
10.00	51879	7.50	0	3500.00	98.33	-7.01	19.00	6422.58	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.35	0	0	0	0	0	0	47.57
10.50	46656	7.50	0	3500.00	101.55	-7.65	19.00	6429.03	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.34	0	0	0	0	0	0	48.49
11.00	41433	7.50	0	3500.00	104.77	-8.28	19.00	6435.48	0	0	0	0	0	9500.00	0	0	0	0	0	0	0	0	7.33	0	0	0	0	0	0	49.41
11.50	36210	7.50	0	3500.00	108.00	-8.91	19.00	6441.94	0	0	0	0	0	9450.00	0	0	0	0	0	0	0	0	7.33	0	0	0	0	0	0	50.33
12.00	30987	7.50	0	3500.00	111.22	-9.54	19.00	6448.39	0	0	0	0	0	9400.00	0	0	0	0	0	0	0	0	7.32	0	0	0	0	0	0	51.25
12.50	30529	7.50	0	3500.00	114.44	-10.17	19.00	6454.84	0	0	0	0	0	9400.00	0	0	0	0	0	0	0	0	7.31	0	0	0	0	0	0	52.16
13.00	30071	7.50	0	3500.00	117.66	-10.81	19.00	6461.29	0	0	0	0	0	9400.00	0	0	0	0	0	0	0	0	7.30	0	0	0	0	0	0	53.08
13.50	29614	7.55	0	3500.00	120.89	-11.44	19.00	6467.74	0	0	0	0	0	9400.00	0	0	0	0	0	0	0	0	7.30	0	0	0	0	0	0	54.00
14.00	29156	7.60	0	3500.00	124.11	-12.07	19.00	6474.19	0	0	0	0	0	9400.00	0	0	0	0	0	0	0	0	7.29	0	0	0	0	0	0	54.92
14.50	28698	7.60	0	3500.00	127.33	-12.70	19.00	6480.65	0	0	0	0	0	9000.00	0	0	0	0	0	0	0	0	7.28	0	0	0	0	0	0	55.84
15.00	28240	7.60	0	3500.00	130.55	-13.34	19.00	6487.10	0	0	0	0	0	8600.00	0	0	0	0	0	0	0	0	7.27	0	0	0	0	0	0	56.76
15.50	25062	7.55	0	3500.00	133.78	-13.97	19.00	6493.55	0	0	0	0	0	7800.00	0	0	0	0	0	0	0	0	7.27	0	0	0	0	0	0	57.68
16.00	21883	7.50	0	3500.00	137.00	-14.60	19.00	6500.00	0	0	0	0	0	7000.00	0	0	0	0	0	0	0	0	7.26	0	0	0	0	0	0	58.60
16.50	18704	7.50	0	3500.00	137.00	-14.60	19.00	6500.00	0	0	0	0	0	7000.00	0	0	0	0	0	0	0	0	7.26	0	0	0	0	0	0	58.60
17.00	15526	7.50	0	3500.00	137.00	-14.60	19.00	6500.00	0	0	0	0	0	7000.00	0	0	0	0	0	0	0	0	7.26	0	0	0	0	0	0	58.60
17.50	12348	7.50	0	3500.00	137.00	-14.60	19.00	6500.00	0	0	0	0	0	7000.00	0	0	0	0	0	0	0	0	7.26	0	0	0	0	0	0	58.60
18.00	9169	7.50	0	3500.00	137.00	-14.60	19.00	6500.00	0	0	0	0	0	7000.00	0	0	0	0	0	0	0	0	7.26	0	0	0	0	0	0	58.60
