skip 
 Z (m)	  Az (m2)	 Tz (deg C)	  Cz(mg/m3)	  POCz (mg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	   Fvol_IM (m3/m3, dry w.)	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4aqz (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 FeSz (mg/m3)	 CaCO3z (mg/m3)	 CH4gz (mg/m3)	 POPz (mg/m3)
0	462094	0	0.0253975751442012	0.393529732453058	1.06150060359256	0.144689530681973	0.0612573257400899	312.518757201177	0	0	0	0	0	2528.18042721746	3698.79210566093	172.45726291226	59.5813442082174	0	0	0	2.30438158560427e-10	0	0	-0	2.40006415679752e-07	0	0	0	0	0
0.5	441101.5	0.237863110709402	0.0172407826478917	0.599814739755692	0.890842972392397	0.0945454135315926	0.0502371474436237	251.406506126624	0	0	0	0	0	1946.91560458185	2685.04225724066	181.690370953903	63.3824191450562	0	0	0	2.72519982225445e-10	0	0	-0	4.32783929309064e-07	0	0	0	0	0
1	420109	0.312305133784937	0.0149400624804142	0.715055255196176	0.842056313850256	0.0774639762985763	0.0489233717026833	228.260583443168	0	0	0	0	0	1743.35599304915	2327.33590605681	184.684116820209	64.7415137231094	0	0	0	3.02495962210525e-10	0	0	-0	5.58561214350412e-07	0	0	0	0	0
1.5	402214.5	0.361932021062681	0.0133581196841112	0.801051036996102	0.813424347055981	0.0669514250141582	0.0483649217669025	211.382917264236	0	0	0	0	0	1616.26934815947	2103.17252654946	186.495277634982	65.5941499632928	0	0	0	3.21804482838951e-10	0	0	-0	6.63580832712907e-07	0	0	0	0	0
2	384320	0.40096211601494	0.0122313768761049	0.866673829252205	0.796532190370057	0.0602083843749808	0.0482158428828766	198.379161489935	0	0	0	0	0	1533.9998971032	1957.96044933155	187.660905945338	66.1450806549302	0	0	0	3.32928847306758e-10	0	0	-0	7.5099820286426e-07	0	0	0	0	0
2.5	370539.5	0.447112841218831	0.0114445219265713	0.913617215166965	0.787425838285338	0.0560618349189866	0.0482144480269515	188.797314592395	0	0	0	0	0	1483.20551002999	1868.77326738873	188.39396449474	66.4846778759107	0	0	0	3.38339597124437e-10	0	0	-0	8.18175655341997e-07	0	0	0	0	0
3	356759	0.510271951037332	0.0109021986750128	0.944933066888534	0.782888674379099	0.0535348922598961	0.0481938417244506	181.954429902986	0	0	0	0	0	1452.32678420296	1815.43910741229	188.856617753974	66.6935078626213	0	0	0	3.40864536558713e-10	0	0	-0	8.66050270077187e-07	0	0	0	0	0
3.5	340834.5	0.613008348365098	0.0104733489181672	0.967296521496786	0.780478494518557	0.0516986820561029	0.0480600041562202	176.388874991746	0	0	0	0	0	1430.16172063487	1778.5412677681	189.204812697822	66.8503749116139	0	0	0	3.42867734893301e-10	0	0	-0	9.03021174697379e-07	0	0	0	0	0
4	324910	0.811354851772741	0.0100651305045881	0.984022166587366	0.779082009504471	0.0501311398671412	0.0476709824217483	171.616235419119	0	0	0	0	0	1411.73683686804	1749.86004387683	189.504556707471	66.9948948345356	0	0	0	3.46832365531739e-10	0	0	-0	9.33940915571217e-07	0	0	0	0	0
4.5	292566	1.05201665943847	0.00969657956407321	0.994718137421507	0.778178513362927	0.0489673502812376	0.0470619224203735	168.343514166461	0	0	0	0	0	1398.57027311521	1731.00117966921	189.716964032228	67.1134810163269	0	0	0	3.52177404002535e-10	0	0	-0	9.56378908033125e-07	0	0	0	0	0
5	260222	1.4280966625723	0.00928574650361341	1.00245249761581	0.7772431903052	0.047950362697639	0.0461309100208028	165.806000052948	0	0	0	0	0	1387.68015856136	1716.86041603799	189.879700798168	67.2309218840112	0	0	0	3.61180476943616e-10	0	0	-0	9.75520191669133e-07	0	0	0	0	0
5.5	210705.5	1.89300045708006	0.0088469032967119	1.00767608641295	0.776252644674262	0.0471588716875702	0.0449704362063574	164.009685800039	0	0	0	0	0	1379.81866445652	1707.76297097754	189.977038498132	67.3368263294242	0	0	0	3.72684977156174e-10	0	0	-0	9.91313294968145e-07	0	0	0	0	0
6	161189	2.55213157978723	0.00835924837305243	1.01078683642325	0.775188062083628	0.0465385527109062	0.0435546583932599	162.750681533365	0	0	0	0	0	1374.27791738806	1702.31786040885	190.019086048864	67.4362981893887	0	0	0	3.8975336762934e-10	0	0	-0	1.00479751749266e-06	0	0	0	0	0
6.5	106210.5	3.34728563378362	0.00798285353619787	1.01154436636384	0.774317696997079	0.0462156576402477	0.0423934715702933	162.192933136019	0	0	0	0	0	1371.7388255336	1700.33797097174	190.019124966114	67.4984315188922	0	0	0	4.11657291955489e-10	0	0	-0	1.01270945748224e-06	0	0	0	0	0
