skip 
 Z (m)	  Az (m2)	 Tz (deg C)	  Cz(mg/m3)	  POCz (mg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	   Fvol_IM (m3/m3, dry w.)	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4aqz (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 FeSz (mg/m3)	 CaCO3z (mg/m3)	 CH4gz (mg/m3)	 POPz (mg/m3)
0	4.6209e+05	0	0.14009	2.3536	3.5612	0.57013	0.43451	1338.2	0	0	0	0	0	5518	9410.7	68.237	61.712	0	0	0	1.3337e-09	0	0	-0	5.2778e-06	0	0	0	0	0
0.5	4.411e+05	1.0386	0.13976	2.3529	3.5612	0.56981	0.43424	1337.8	0	0	0	0	0	5516.9	9410.7	68.25	61.772	0	0	0	1.4334e-09	0	0	-0	5.2822e-06	0	0	0	0	0
1	4.2011e+05	1.046	0.11959	3.0951	3.3849	0.49967	0.44995	1245.5	0	0	0	0	0	4418.5	7598.1	78.313	72.243	0	0	0	2.0085e-09	0	0	-0	7.2079e-06	0	0	0	0	0
1.5	4.0221e+05	1.0732	0.11208	3.4565	3.3189	0.46974	0.46337	1204.6	0	0	0	0	0	3932.8	6788.8	82.063	76.911	0	0	0	2.4289e-09	0	0	-0	8.2501e-06	0	0	0	0	0
2	3.8432e+05	1.0872	0.10724	3.6928	3.2761	0.45098	0.4731	1174.2	0	0	0	0	0	3623.9	6271.2	84.091	79.929	0	0	0	2.7696e-09	0	0	-0	8.9764e-06	0	0	0	0	0
2.5	3.7054e+05	1.1113	0.10414	3.8563	3.2382	0.43608	0.48042	1150	0	0	0	0	0	3376.5	5854.6	85.29	82.449	0	0	0	3.1087e-09	0	0	-0	9.5309e-06	0	0	0	0	0
3	3.5676e+05	1.1603	0.10185	3.999	3.1933	0.42065	0.48728	1129	0	0	0	0	0	3121.3	5424.2	86.076	85.196	0	0	0	3.556e-09	0	0	-0	1.0078e-05	0	0	0	0	0
3.5	3.4083e+05	1.2499	0.099974	4.1398	3.1379	0.40432	0.49472	1110.2	0	0	0	0	0	2856	4976.8	86.41	88.215	0	0	0	4.1642e-09	0	0	-0	1.0677e-05	0	0	0	0	0
4	3.2491e+05	1.4494	0.098155	4.3073	3.0552	0.38518	0.50529	1089.5	0	0	0	0	0	2555.5	4469.3	85.94	91.855	0	0	0	5.1152e-09	0	0	-0	1.1463e-05	0	0	0	0	0
4.5	2.9257e+05	1.7995	0.097231	4.4964	2.9247	0.3658	0.52595	1068.2	0	0	0	0	0	2268.9	3979.2	83.47	95.622	0	0	0	6.4438e-09	0	0	-0	1.2428e-05	0	0	0	0	0
5	2.6022e+05	2.5119	0.10396	4.69	2.7126	0.34936	0.61031	1048.9	0	0	0	0	0	2060.3	3596.1	75.764	98.857	0	0	0	8.0349e-09	0	0	-0	1.3512e-05	0	0	0	0	0
5.5	2.1071e+05	3.4915	0.16679	4.7876	2.6302	0.34274	1.1163	1040.8	0	0	0	0	0	2043.4	3462.6	55.944	100.16	0	0	0	8.9058e-09	0	0	-0	1.4127e-05	0	0	0	0	0
6	0	3.4915	0.16679	4.7876	2.6302	0.34274	1.1163	1040.8	0	0	0	0	0	2043.4	3462.6	55.944	100.16	0	0	0	8.9058e-09	0	0	-0	1.4127e-05	0	0	0	0	0
